id,x,y,z
373,-0.909037591,-0.074885619,-0.600829996
374,-0.729569422,-0.103323764,-0.88737152
375,-0.819270309,0.002467031,-0.754379192
376,-0.789502805,-0.145666996,0.924914346
377,-0.743291246,-0.336727371,0.979636153
378,-0.180953224,0.72795371,-0.634657144
379,-0.176190423,0.701063066,-0.694107996
380,-0.194362986,0.714586884,-0.664044781
381,-0.259147698,0.720104064,-0.695555663
382,-0.70026669,0.503655692,0.156376972
383,-0.706175927,0.383553871,-0.31418231
384,-0.714608209,0.495178075,0.015248757
385,-0.692277048,0.363113394,-0.47219032
386,-0.555966227,0.69193505,0.577233026
387,-0.597264488,0.628756616,0.50108575
388,-0.684619385,0.581232619,0.361381074
389,-0.660761119,0.57129721,0.351430777
390,-0.75612779,0.632928142,0.266148724
391,-0.760354997,0.636404414,0.263267867
392,-0.771221796,0.63203104,0.257289003
393,-0.73795744,0.598456984,0.313916904
394,-0.482399549,-0.662083969,0.890025575
395,-0.395354499,-0.750291558,0.475124258
396,-0.320105791,-0.744191262,-0.182348116
397,-0.248502219,0.683591998,-0.685711528
398,-0.298859097,0.639723692,-0.66047387
399,-0.419323426,0.519220418,-0.763837282
400,-0.381654808,0.550282587,-0.749119336
401,-0.644317063,0.318347986,-0.853496115
402,-0.640598891,0.322064233,-0.852820538
403,-0.455752653,0.50845519,-0.794141775
404,-0.553221862,0.435114829,-0.793610964
405,-0.825422997,0.28715798,-0.845196159
406,-0.72516516,0.297441016,-0.844231048
407,-0.251897263,0.79750157,-0.22104425
408,-0.221569821,0.754709787,-0.538102591
409,-0.240972922,0.745290213,-0.623654876
410,-0.267714984,0.792096528,-0.419422863
411,-0.210722941,0.676639455,-0.744342035
412,-0.291798997,0.636673544,-0.707860831
413,-0.295295849,0.631515206,-0.691598707
414,-0.357730145,0.562640172,-0.781884862
415,-0.405734394,0.517560779,-0.809438788
416,-0.409718149,0.514039652,-0.786324374
417,-0.373665165,0.563156006,-0.746513536
418,-0.727998052,0.357923657,-0.327568402
419,-0.758606571,0.342109985,-0.309863437
420,-0.679838879,0.336162196,-0.619890942
421,-0.607467328,0.302446847,-0.839019447
422,-0.482133965,0.49807123,-0.835979347
423,-0.725475007,0.331544362,-0.52437871
424,-0.430079564,0.490670135,-0.800270231
425,-0.498821472,0.415963936,-0.817883511
426,-0.310367723,0.817260249,0.677266805
427,-0.385350847,0.727751861,0.750567003
428,-0.341352485,0.794428994,0.724460744
429,-0.268345746,0.843702341,0.49249626
430,-0.346996138,0.803557011,0.581045215
431,-0.437847887,0.813178434,0.58360276
432,-0.298327929,0.826522831,0.566472036
433,-0.49441721,0.793599175,0.559040679
434,-0.413148605,0.799161209,0.575785359
435,-0.450042604,0.796985736,0.591950972
436,-0.510175175,0.796268054,0.572648748
437,-0.532506335,0.772270566,0.505042706
438,-0.546272422,0.766102987,0.475365536
439,-0.615479102,0.756234861,0.321290354
440,-0.586486217,0.753700547,0.405057183
441,-0.588190379,0.74421369,0.218066882
442,-0.612535549,0.657127478,-0.244848719
