ID,mdsX,mdsy,mdsZ
479,-0.180617452,0.425450811,0.489872545
480,-0.070155094,0.469254712,0.553565749
481,-0.118224221,0.448186893,0.501393409
482,-0.07771078,0.517761178,0.484778758
483,-0.137956182,0.175260475,-0.843882751
484,0.043216069,0.215688473,-0.740726433
485,0.037721154,0.375693121,-0.503359317
486,-0.935409132,0.094900596,-0.460465521
487,-0.931308426,0.23009892,-0.475902598
488,-0.70475367,0.303586964,-0.336091587
489,-0.803377035,0.298545643,-0.402635953
490,-0.301340002,0.54925924,-0.130068532
491,-0.303696039,0.523195929,-0.110065315
492,-0.597959047,0.319343602,-0.279626285
493,-0.432656041,0.415768774,-0.180367116
494,0.104382591,0.550805735,0.099682352
495,-0.119342378,0.535168265,-0.038920137
496,-0.792153124,-0.122420676,-0.055333189
497,-0.870330389,-0.124567647,-0.276871454
498,-0.873517213,-0.022428319,-0.412180544
499,-0.714239664,-0.015546845,-0.38339266
500,-1,-0.025499048,-0.445897123
501,-0.898219196,0.051124523,-0.322134163
502,-0.935705151,0.181968664,-0.469722392
503,-0.810517757,0.121021624,-0.241310464
504,-0.754931621,0.204661229,-0.23185622
505,-0.740258727,0.269919923,-0.297330884
506,-0.807692903,0.257274464,-0.381071916
507,-0.314024995,0.639464341,0.090235313
508,-0.220973741,0.652307809,0.114961893
509,-0.441040693,0.660919194,-0.158878191
510,-0.435337982,0.566644727,-0.24935808
511,-0.611470809,0.26326704,-0.105250675
512,-0.274896563,0.577049682,0.141138996
513,-0.711872133,0.295362068,-0.282764044
514,-0.631498792,0.409025248,-0.299100766
515,-0.748777675,0.043616306,-0.47714588
516,-0.798261869,-0.042566891,-0.575281839
517,-0.578525488,0.036855511,-0.586036926
518,-0.670361703,0.070641991,-0.674949074
519,-0.544856848,0.06226793,-0.67076034
520,-0.58022849,0.140210261,-0.744685936
521,-0.495209229,0.143110093,-0.743554997
522,-0.531600042,-0.025713891,-0.610216932
523,-0.371057756,0.087788983,-0.525035032
524,-0.538068845,-0.001414573,0.454737294
525,-0.248291931,0.014355111,0.618224978
526,-0.481733902,-0.073105583,0.520445606
527,-0.735502677,-0.00093725,0.397048043
528,-0.556707434,0.053238031,0.578885838
529,-0.510974503,0.009062569,0.610067095
530,-0.647186262,0.002386607,0.493016871
531,-0.455790257,0.094578022,0.678729697
532,-0.506601446,0.066045656,0.63479932
533,-0.426085827,0.115849105,0.653494996
534,-0.344036947,0.139505256,0.714542576
535,-0.501339385,0.097005319,0.632787204
536,-0.445418483,0.138860756,0.676575108
537,-0.237130288,0.217423321,0.768644689
538,-0.371740636,0.209097745,0.697900758
539,-0.408651383,0.21675274,0.673887665
540,-0.39524647,0.291982926,0.524752042
541,-0.288283871,0.269771386,0.727222293
542,-0.348807805,0.346112311,0.474340121
543,-0.677772402,-0.084233184,0.554556731
544,-0.67368451,-0.084231686,0.571234754
545,-0.664622596,-0.113069073,0.557824639
546,-0.608047917,-0.034814153,0.318696538
547,-0.595821324,-0.009841664,0.518080628
548,-0.68095757,-0.023407896,0.325526532
549,-0.727465939,-0.085743845,0.215660591
550,-0.647165485,0.084302151,0.30904342
551,-0.685871634,0.110869702,0.175141301
552,-0.915140938,-0.107889541,-0.259248921
